depvar,bandwidth,time,coef,se,t_stat,n_obs,method,path,pvalue,ci_lower,ci_upper,ci_width,auto_bw
securitized,0.03,3,0.18726791526387032,0.04151448391039311,4.510905535236293,9505,lasso,rdflex,6.455146481417066e-06,0.10580825141613912,0.2689713469148634,0.1631630954987243,
securitized,0.03,3,0.19257776797186948,0.03882350127184036,4.96034004309526,9505,rf,rdflex,7.036988668107589e-07,0.11623886315843393,0.26924307934260117,0.15300421618416724,
securitized,0.03,3,0.1645379068329178,0.03879777925180903,4.240910433687925,9505,lgbm,rdflex,2.226149626430782e-05,0.08866528318283783,0.24041053048299776,0.15174524730015992,
securitized,0.03,3,0.17937709525276269,0.03852728145769358,4.655846155398606,9505,xgb,rdflex,3.2265280477954157e-06,0.10189922354786304,0.25560254019967,0.15370331665180695,
securitized,0.03,3,0.18136027314178782,0.03888816719545574,4.6636364277661455,9505,nnet,rdflex,3.106700578490372e-06,0.10530753047558308,0.2574130158079926,0.1521054853324095,
securitized,0.03,3,0.20064042565772564,0.039141603983715204,5.126014399951564,9505,sl,rdflex,2.959399817916576e-07,0.12423951577856253,0.27704133553688876,0.15280181975832624,
securitized,0.04,3,0.20469817689109587,0.045805483683047,4.46885744745135,9505,nocov,rdflex,7.863851454065983e-06,0.11487776455653104,0.2945586469410626,0.17968088238453156,
securitized,0.04,3,0.18026119008543262,0.03832583157882657,4.703386271337148,9505,ridge,rdflex,2.5588165585428195e-06,0.10508453820592,0.2553784396574806,0.15029390145156057,
securitized,0.04,3,0.19936325923842743,0.04006717007223001,4.975725984116939,9505,lasso,rdflex,6.500354812738507e-07,0.11897349651010114,0.27860591454880523,0.1596324180387041,
securitized,0.04,3,0.19021734012569652,0.0387562747667937,4.908039827622297,9505,rf,rdflex,9.19911763072172e-07,0.11425643740784239,0.2661782428435506,0.15192180543570824,
securitized,0.04,3,0.16626320145521878,0.03901458543831908,4.261565247645039,9505,lgbm,rdflex,2.0300006606392312e-05,0.08816981718451818,0.2443565857259194,0.15618676854140123,
securitized,0.04,3,0.1750606622885426,0.03854975303807743,4.541161706422006,9505,xgb,rdflex,5.594509939793394e-06,0.09942100059014178,0.2507003239869434,0.15127932339680164,
securitized,0.04,3,0.17945236143968374,0.03857495763708953,4.6520429945240345,9505,nnet,rdflex,3.286625300749717e-06,0.10459371633284821,0.25505788911353755,0.15046417278068935,
securitized,0.04,3,0.19958286594697178,0.03876853328769331,5.148063365356342,9505,sl,rdflex,2.631895916174016e-07,0.1237495289395432,0.27541620295440034,0.15166667401485712,
securitized,0.05,3,0.2045201733531598,0.04583539490459863,4.46205762552818,9505,nocov,rdflex,8.117638779208047e-06,0.11476681909736558,0.2942977647062466,0.179530945608881,
