bandwidth,poly_order,method,beta1,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,covariates_used
125,2,ridge,214.42423246267242,49.40822525537728,4.339848908848144,1.425807153176388e-05,118.55434806690734,309.5246710829888,190.97032301608147,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,2,lasso,78.01138130787871,28.677895132704794,2.7202617537614575,0.006523025847730661,22.397892943582228,133.62486967217518,111.22697672859294,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,2,rf,19.40394999857877,35.03252746991492,0.5538838159833718,0.5796583617229478,-49.25854212986458,88.06644212702211,137.3249842568867,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,2,lgbm,29.37851030132901,40.150384069904455,0.7317118125241117,0.4643444849575685,-53.95196148151734,113.7936991674971,167.74566064901444,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,2,xgb,29.155048691374702,24.31170879971389,1.1992184067175817,0.23044303184036274,-13.394626720328759,72.25929137236933,85.65391809269809,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,2,nnet,141.3018792721365,41.9346805393631,3.3695709006176817,0.0007528532024482945,58.69448983022832,213.77345788862027,155.07896805839195,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,2,sl,22.098668700728414,23.021069436664355,0.9599323246700744,0.3370892762677069,-18.812560908103034,65.78434166946182,84.59690257756486,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,3,nocov,253.55912078128722,70.77183241307574,3.5827689086998946,0.0003399713478483325,115.28064964392868,391.93919672237365,276.65854707844494,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,3,ridge,222.94732552906146,48.311997156679645,4.61474040922021,3.93586946663214e-06,128.20298774993591,315.9626048564997,187.75961710656378,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,3,lasso,72.06980429292557,29.803527383914574,2.418163573880277,0.015599062776871694,14.816666596792622,132.8286408351454,118.01197423835276,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,3,rf,60.48447665295464,38.980939203400105,1.5516423639089458,0.1207478205989638,-15.332168549038855,136.88571357516432,152.2178821242032,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,3,lgbm,5.303173800474013,41.661034004650084,0.12729337922534734,0.8987082002933359,-71.33767174712435,81.94401934807237,153.28169109519672,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,3,xgb,4.228589153934578,29.19473836427175,0.14484079635080704,0.8848365710064203,-44.685347524110355,59.41327629413112,104.09862381824148,1566,"log_volume, log_users, mkt_ret, log_users_lag"
125,3,nnet,159.29453616500234,46.48150491546365,3.4270520383260568,0.0006101721264947391,60.27663184032201,257.14439218488667,196.86776034456466,1566,"log_volume, log_users, mkt_ret, log_users_lag"
