dayuserchgw,gt300,mktcap1_300,log_volume,log_users,mkt_ret,log_users_lag
19.0,0,-47.942886,14.295988,7.4650826,0.46,7.454141
-2.0,0,-7.8753357,12.169564,5.043425,-0.46,5.056246
-2.0,0,-7.8753357,12.169564,5.043425,-0.46,5.056246
7.0,0,-64.584625,13.0222225,4.7361984,-0.46,4.6728287
7.0,0,-64.584625,13.0222225,4.7361984,-0.46,4.6728287
7.0,0,-64.584625,13.0222225,4.7361984,-0.46,4.6728287
7.0,0,-64.584625,13.0222225,4.7361984,-0.46,4.6728287
0.0,0,-31.730957,9.690047,3.218876,0.74,3.218876
318.0,0,-59.606003,14.973514,7.943783,-0.18,7.824046
318.0,0,-59.606003,14.973514,7.943783,-0.18,7.824046
318.0,0,-59.606003,14.973514,7.943783,-0.18,7.824046
318.0,0,-59.606003,14.973514,7.943783,-0.18,7.824046
6.0,0,-5.159973,17.50286,7.7968802,0.37,7.794411
309.0,0,-55.508286,14.919254,7.007601,0.12,6.6795993
309.0,0,-55.508286,14.919254,7.007601,0.12,6.6795993
309.0,0,-55.508286,14.919254,7.007601,0.12,6.6795993
62.0,0,-37.169067,15.527856,5.521461,-0.13,5.236442
62.0,0,-37.169067,15.527856,5.521461,-0.13,5.236442
19.0,0,-56.791245,12.069244,3.7841897,-0.18,3.218876
19.0,0,-56.791245,12.069244,3.7841897,-0.18,3.218876
19.0,0,-56.791245,12.069244,3.7841897,-0.18,3.218876
19.0,0,-56.791245,12.069244,3.7841897,-0.18,3.218876
0.0,0,-11.269226,10.608143,3.912023,-0.48,3.912023
0.0,0,-11.269226,10.608143,3.912023,-0.48,3.912023
0.0,0,-11.269226,10.608143,3.912023,-0.48,3.912023
0.0,0,-11.269226,10.608143,3.912023,-0.48,3.912023
9.0,0,-67.321655,12.678673,4.9904327,-3.33,4.9272537
532.0,0,-67.0414,14.886119,6.7452364,-0.53,5.7620516
532.0,0,-67.0414,14.886119,6.7452364,-0.53,5.7620516
532.0,0,-67.0414,14.886119,6.7452364,-0.53,5.7620516
532.0,0,-67.0414,14.886119,6.7452364,-0.53,5.7620516
532.0,0,-67.0414,14.886119,6.7452364,-0.53,5.7620516
532.0,0,-67.0414,14.886119,6.7452364,-0.53,5.7620516
532.0,0,-67.0414,14.886119,6.7452364,-0.53,5.7620516
102.0,0,-51.53865,15.097354,6.461468,-0.28,6.2878585
0.0,0,-50.437836,13.093676,5.560682,-1.04,5.560682
-6.0,0,-37.343903,12.490668,6.315358,-2.06,6.3261495
-6.0,0,-37.343903,12.490668,6.315358,-2.06,6.3261495
-6.0,0,-37.343903,12.490668,6.315358,-2.06,6.3261495
-6.0,0,-37.343903,12.490668,6.315358,-2.06,6.3261495
-6.0,0,-37.343903,12.490668,6.315358,-2.06,6.3261495
-12.0,0,-21.04123,11.393433,7.7861366,-0.13,7.7911096
-12.0,0,-21.04123,11.393433,7.7861366,-0.13,7.7911096
0.0,0,-9.379974,14.759605,2.8332133,-1.85,2.8332133
0.0,0,-60.40692,10.59666,6.453625,-2.13,6.453625
0.0,0,-60.40692,10.59666,6.453625,-2.13,6.453625
0.0,0,-60.40692,10.59666,6.453625,-2.13,6.453625
5.0,0,-65.392136,11.105227,4.7706847,5.07,4.727388
5.0,0,-65.392136,11.105227,4.7706847,5.07,4.727388
118.0,0,-32.82556,17.046598,6.9994226,1.01,6.8855095
118.0,0,-32.82556,17.046598,6.9994226,1.01,6.8855095
118.0,0,-32.82556,17.046598,6.9994226,1.01,6.8855095
0.0,0,-12.805511,6.908755,5.081404,-0.21,5.081404
0.0,0,-30.374817,12.445491,2.4849067,-0.21,2.4849067
-17.0,0,-69.75255,13.097513,7.003974,1.13,7.0192966
-17.0,0,-69.75255,13.097513,7.003974,1.13,7.0192966
-17.0,0,-69.75255,13.097513,7.003974,1.13,7.0192966
-17.0,0,-69.75255,13.097513,7.003974,1.13,7.0192966
0.0,0,-23.001862,16.25765,5.4026775,0.1,5.4026775
33.0,0,-28.841095,15.019311,6.042633,0.1,5.961005
33.0,0,-28.841095,15.019311,6.042633,0.1,5.961005
4.0,0,-33.54004,17.023233,5.049856,0.72,5.0238805
4.0,0,-33.54004,17.023233,5.049856,0.72,5.0238805
4.0,0,-33.54004,17.023233,5.049856,0.72,5.0238805
