originated,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
1.0,-0.0516720105443209,1.0,4.634728988229636,5.981414211254481,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.158155490946771,1.0,5.568344503761097,5.87493073085203,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
0.0,-0.0048077015681036,1.0,6.163314804034641,6.028278520230698,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.0929149690783699,1.0,5.236441962829949,5.940171252720432,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.02181904739464,1.0,4.844187086458591,6.0112671744041615,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2014
1.0,0.076161360965564,0.0,5.697093486505405,6.1092475827643655,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2014
1.0,-0.0929149690783699,1.0,5.3612921657094255,5.940171252720432,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,0.1815218766233899,0.0,5.68697535633982,6.214608098422191,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.0592766099295403,1.0,5.056245805348308,5.973809611869261,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.0720808821755278,1.0,4.406719247264253,5.961005339623274,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2014
1.0,-0.0416216746908197,1.0,5.402677381872279,5.991464547107982,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2014
1.0,0.0,1.0,4.8283137373023015,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2014
1.0,0.0850109762425468,0.0,5.049856007249537,6.118097198041348,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.158155490946771,1.0,5.0689042022202315,5.87493073085203,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
0.0,0.0353393664453092,0.0,4.74493212836325,6.068425588244111,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.0416216746908197,1.0,4.406719247264253,5.991464547107982,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.1924445644254033,1.0,4.897839799950911,5.840641657373398,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2014
1.0,-0.0643786618134356,1.0,4.844187086458591,5.968707559985366,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2014
1.0,0.1386143756121134,0.0,4.804021044733257,6.171700597410915,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2014
1.0,0.076161360965564,0.0,4.430816798843313,6.1092475827643655,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.0416216746908197,1.0,5.241747015059643,5.991464547107982,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.1525532353981011,1.0,5.225746673713202,5.8805329864007,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
0.0,-0.0144930073025673,1.0,4.276666119016055,6.018593214496234,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.1442082634659209,1.0,4.852030263919617,5.8888779583328805,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.0291991546922627,1.0,4.6443908991413725,6.003887067106539,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.1637893086650272,1.0,5.6240175061873385,5.869296913133774,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1141923675256553,1.0,5.6131281063880705,5.918893854273146,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,0.0,1.0,4.804021044733257,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,-0.195355774632862,1.0,4.532599493153256,5.83773044716594,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1751530673153425,1.0,5.247024072160486,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1222895777582744,1.0,5.683579767338681,5.910796644040527,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
0.0,-0.0416216746908197,1.0,4.430816798843313,5.991464547107982,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.0291991546922627,1.0,4.68213122712422,6.003887067106539,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0416216746908197,1.0,4.219507705176107,5.991464547107982,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0416216746908197,1.0,4.6913478822291435,5.991464547107982,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0120628724492748,1.0,5.3230099791384085,6.021023349349527,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,0.0,1.0,5.262690188904886,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.0643786618134356,1.0,4.653960350157523,5.968707559985366,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,0.0,1.0,5.537334267018537,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,0.0,1.0,5.214935757608986,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,-0.1694550462007047,1.0,4.465908118654584,5.863631175598097,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
